GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tests,com.integration.and.junit.tests,TestsApplication,5,3,0,0,2,1,1,1,1,1
tests,com.integration.and.junit.tests.controller,Controller,11,3,2,0,3,1,2,1,1,1
